						y744n40	y744n98	y744n41	y744n101	y744n88	y744n102	y744n89	y744n32	y744n90	y744n51	y744n96	y744n73	y744n97	y744n52	y744n100	y744n94	y744n103	y744n72
YBL102W	SFT2	Golgi_to_endosome_transport_	molecular_function_unknown_	None	None	0.745	0.512	0.817	0.757	1.088	0.94	0.887	0.828	0.679	0.889	0.696	0.873	0.771	1.146	0.927	0.599	1.246	0.578
YBL103C	RTG3	biological_process_unknown_	molecular_function_unknown_	None	None	0.765	0.506	0.644	0.608	0.646	0.7	0.759	Null	0.621	Null	0.596	1.092	0.681	1.448	0.929	0.616	1.352	0.85
YBL104C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.83	0.511	0.682	0.599	0.692	0.731	0.746	0.769	0.653	Null	0.661	0.995	0.692	Null	0.958	0.863	1.279	Null
YBL105C	PKC1	protein_phosphorylation*_	protein_kinase_C_	None	None	0.873	0.568	0.476	0.462	0.63	0.496	0.714	0.74	0.679	1.066	0.614	1.06	0.589	1.302	0.832	0.787	0.934	0.823
YBL111C	None	biological_process_unknown_	molecular_function_unknown_	G1	None	0.56	0.525	1.099	1.386	0.75	0.593	0.61	0.576	0.524	1.626	0.923	2.053	0.991	1.425	0.704	0.839	0.853	1.006
YBL112C	None	biological_process_unknown_	molecular_function_unknown_	G1	None	0.562	0.634	1.102	1.907	0.797	1.242	0.478	Null	0.575	1.294	1.132	2.941	0.874	1.616	0.989	0.881	0.838	1.103
YBL113C	None	biological_process_unknown_	molecular_function_unknown_	G1	None	0.655	0.626	1.006	1.583	0.762	0.66	0.657	0.599	0.559	1.86	0.911	2.027	1.092	1.523	0.751	1.001	0.861	0.975
YBR001C	NTH2	stress_response*_	"alpha,alpha-trehalase_"	None	None	0.555	0.754	1.098	0.986	0.775	0.971	0.581	Null	0.61	0.936	0.873	1.597	0.71	1.257	1.104	0.795	0.837	Null
YBR003W	COQ1	ubiquinone_metabolism_	trans-hexaprenyltranstransferase_	None	None	0.918	0.603	0.792	0.797	0.856	0.943	0.633	Null	0.58	0.86	0.75	1.387	0.817	1.278	1.07	0.815	0.914	0.752
YBR004C	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.451	0.41	0.447	0.633	0.675	0.609	0.777	Null	0.551	1.004	0.496	0.929	0.783	1.344	0.728	Null	1.012	0.798
YBR009C	HHF1	biological_process_unknown_	molecular_function_unknown_	S	S	0.116	0.067	0.176	0.514	1.536	1.935	0.868	0.76	0.369	0.495	0.302	0.644	1.131	2.366	1.681	0.82	0.766	Null
YBR010W	HHT1	biological_process_unknown_	molecular_function_unknown_	S	S	0.189	0.14	0.219	0.611	1.741	1.299	0.984	0.69	0.409	0.473	0.261	0.758	1.248	2.77	1.714	0.85	1.061	0.543
YBR011C	IPP1	biological_process_unknown_	inorganic_diphosphatase_	None	None	0.906	0.448	0.836	0.822	1.002	1.128	0.815	0.861	0.707	1.069	0.877	0.931	0.742	1.35	1.036	0.788	1.096	0.59
YBR012C	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.329	0.872	1.228	1.176	1.191	1.115	1.177	1.316	1.076	1.723	1.103	1.575	1.048	1.676	1.278	0.945	1.65	1.12
YBR012W-A	None	biological_process_unknown_	molecular_function_unknown_	None	None	2.295	1.213	1.819	2.267	2.356	2.845	1.5	2.185	1.416	2.217	1.934	2.062	1.351	3.143	2.151	1.567	2.034	1.5
YBR012W-B	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.841	1.079	1.308	1.432	1.607	1.448	1.409	1.634	1.251	2.001	1.183	1.761	1.269	2.333	1.62	1.295	1.423	1.341
YBR014C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.691	0.631	0.784	0.721	0.833	0.801	0.911	Null	0.655	Null	0.517	0.88	0.696	1.206	0.984	0.633	1.108	0.737
YBR016W	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.591	0.564	0.722	0.604	0.681	0.642	0.769	0.629	0.591	0.838	0.591	0.87	0.744	1.423	0.887	0.673	0.895	0.658
YBR017C	KAP104	biological_process_unknown_	molecular_function_unknown_	None	None	0.774	0.457	0.697	0.698	0.685	1.051	0.749	0.764	0.673	1.024	1.132	1.283	0.804	1.255	1.218	0.734	1.164	Null
YBR021W	FUR4	transport_	uracil_permease_	None	None	0.697	0.914	0.939	0.737	0.986	0.626	0.882	Null	0.59	0.953	0.734	1.176	0.896	Null	0.736	0.871	0.977	Null
YBR023C	CHS3	cytokinesis*_	chitin_synthase_	None	G1	2.104	0.928	0.699	0.931	0.928	0.76	0.898	Null	0.576	0.903	0.785	1.891	1.091	2.017	1.043	1.366	0.911	Null
YBR025C	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.009	0.546	0.549	0.672	0.586	0.691	0.739	Null	0.562	0.915	0.638	1.327	0.739	1.288	0.839	0.852	0.961	0.746
YBR027C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.648	0.436	0.49	0.339	0.569	0.627	0.525	0.905	0.495	0.85	0.494	0.941	0.759	1.219	0.656	0.777	0.873	0.739
YBR029C	CDS1	phosphatidylglycerol_biosynthesis*_	phosphatidate_cytidylyltransferase_	None	None	0.761	0.435	0.431	0.569	0.697	0.684	0.984	0.991	0.676	1.076	0.62	0.867	0.813	1.286	0.756	0.734	0.874	0.735
YBR031W	RPL4A	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	0.86	0.489	0.646	0.639	1.014	0.725	0.904	0.996	0.767	1.257	0.701	1.015	0.92	1.74	1.249	0.87	1.085	Null
YBR033W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.643	Null	0.451	0.608	0.789	0.531	0.523	0.934	0.406	1.019	0.466	0.992	0.577	1.234	0.741	0.845	1.061	Null
YBR034C	HMT1	biological_process_unknown_	molecular_function_unknown_	None	None	0.927	0.192	0.273	0.378	0.63	0.45	0.67	0.64	0.564	0.831	0.593	0.835	0.696	1.185	0.589	0.571	0.825	0.709
YBR035C	PDX3	biological_process_unknown_	pyridoxamine-phosphate_oxidase_	None	None	0.624	0.474	0.704	0.591	0.832	0.77	0.802	0.854	0.591	0.858	0.598	0.844	0.746	Null	0.882	0.587	0.96	Null
YBR036C	CSG2	sphingolipid_metabolism_	molecular_function_unknown_	None	None	0.775	0.538	0.707	0.669	0.824	0.677	0.844	0.709	0.588	0.911	0.588	0.997	0.673	1.329	0.807	0.583	1.033	0.741
YBR039W	ATP3	ATP_synthesis_coupled_proton_transport_	hydrogen-transporting_two-sector_ATPase_	None	None	0.445	0.316	0.55	0.509	0.568	0.628	0.621	0.579	0.511	0.802	0.543	0.791	0.661	0.991	0.803	0.855	0.804	0.567
YBR041W	FAT1	very_long_chain_fatty_acid_metabolism*_	long-chain-fatty-acid-CoA-ligase*_	None	None	0.755	0.529	0.952	0.941	1.032	0.887	0.806	0.688	0.521	0.814	0.555	1.135	0.875	1.667	0.918	0.685	0.952	0.76
YBR043C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.693	0.767	0.476	0.673	0.619	0.954	1.001	1.012	0.702	1.113	0.566	1.108	0.797	1.524	0.834	1.001	1.232	0.964
YBR045C	GIP1	biological_process_unknown_	molecular_function_unknown_	None	None	0.755	Null	0.67	0.826	0.618	0.845	0.877	0.735	0.751	1.06	1.147	0.936	0.734	1.414	1.1	1.042	0.924	0.82
YBR049C	REB1	transcription_regulation_from_Pol_II_promoter*_	Pol_I_transcription_termination_factor_	None	None	0.44	0.411	0.332	0.513	0.558	0.878	0.861	0.878	0.56	0.874	0.465	0.844	0.641	1.473	0.779	1.091	0.919	0.856
YBR053C	None	biological_process_unknown_	molecular_function_unknown_	M/G1	None	0.927	1.109	0.847	0.78	0.715	0.659	0.601	0.517	0.486	0.953	0.518	1.144	0.766	Null	0.619	Null	0.666	Null
YBR054W	YRO2	biological_process_unknown_	molecular_function_unknown_	G2/M	G2/M	0.161	0.148	0.259	0.152	0.169	0.108	0.276	0.5	0.842	1.676	0.998	1.159	0.526	0.708	0.364	0.401	0.854	Null
YBR058C	UBP14	deubiquitylation_	ubiquitin-specific_protease_	None	None	0.896	0.556	0.546	0.664	0.745	0.711	0.694	Null	0.706	1.005	0.684	1.048	0.686	1.402	0.844	0.649	1.139	0.872
YBR064W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.671	0.625	0.554	0.566	0.617	0.612	0.568	0.59	0.556	Null	0.54	Null	0.646	1.133	0.683	0.561	1.053	0.743
YBR067C	TIP1	biological_process_unknown_	molecular_function_unknown_	M/G1	G1	2.279	1.234	1.373	0.811	0.765	0.47	0.342	Null	0.332	Null	0.66	1.085	0.911	1.064	0.577	0.624	0.399	0.59
YBR068C	BAP2	transport_	molecular_function_unknown_	None	None	1.07	2.145	0.448	0.437	0.648	0.688	1.068	Null	0.692	Null	0.575	1.063	0.777	1.218	0.914	0.976	0.84	0.913
YBR069C	TAT1	transport_	amino_acid_permease_	G2/M	None	0.745	0.394	0.38	0.422	0.518	0.778	0.854	0.871	0.753	1.128	0.909	1.459	0.797	1.463	0.897	0.995	0.916	1.155
YBR070C	None	stress_response_	molecular_function_unknown_	G1	None	0.36	0.462	0.7	0.99	0.849	0.759	0.665	Null	0.291	0.849	0.541	1.151	0.934	1.296	0.61	0.611	0.65	Null
YBR071W	None	biological_process_unknown_	molecular_function_unknown_	G1	None	0.393	0.547	1.41	1.203	0.679	0.725	0.483	Null	0.239	1.267	1.746	2.493	1.184	1.541	0.606	0.633	0.503	0.892
YBR073W	RDH54	meiosis_	helicase_	G1	None	0.654	2.45	0.687	0.728	0.698	0.77	0.713	0.688	0.599	0.602	0.655	1.336	0.863	1.227	0.995	0.818	0.646	0.734
YBR075W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.853	0.418	0.454	0.565	0.583	0.786	0.75	0.821	0.61	0.929	0.614	1.139	0.761	1.309	0.834	0.995	0.874	0.958
YBR076W	ECM8	biological_process_unknown_	molecular_function_unknown_	None	None	0.705	0.516	0.464	0.54	0.477	0.694	0.639	0.705	0.421	0.928	0.379	0.738	0.946	1.091	0.53	0.744	0.86	Null
YBR077C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.621	0.616	0.609	0.474	0.576	0.996	0.844	0.819	0.598	0.793	0.568	1.013	0.765	1.426	0.874	0.886	0.942	0.783
YBR078W	ECM33	biological_process_unknown_	molecular_function_unknown_	None	None	0.7	0.346	0.55	0.69	1.122	0.887	1.363	1.121	0.969	1.061	0.705	0.888	0.937	2.103	1.576	Null	1.11	Null
YBR079C	RPG1	protein_synthesis_initiation_	translation_initiation_factor_	None	None	0.773	0.351	0.517	0.591	0.765	0.698	0.77	0.815	0.651	0.922	0.76	1.338	0.686	1.867	0.987	0.586	1.069	Null
YBR080C	SEC18	ER_to_Golgi_transport*_	adenosinetriphosphatase*_	None	None	0.746	0.389	0.675	0.757	0.732	0.71	0.738	0.71	0.658	0.968	0.655	1.032	0.722	1.318	0.811	0.662	0.864	0.681
YBR081C	SPT7	biological_process_unknown_	molecular_function_unknown_	None	None	0.561	0.92	0.473	0.655	0.628	0.85	0.686	0.774	0.567	0.886	0.609	1	0.651	1.169	0.944	Null	1.153	Null
YBR082C	UBC4	stress_response*_	ubiquitin_conjugating_enzyme_	None	None	0.787	0.439	0.676	0.683	0.892	0.689	0.917	0.794	0.806	1.141	0.678	0.93	0.694	1.139	0.911	0.644	1.042	0.768
YBR084C-A	RPL19A	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	0.792	0.504	0.633	0.576	0.59	0.632	0.69	0.703	0.659	1.037	0.603	0.97	0.753	1.5	0.891	0.691	0.655	Null
YBR084W	MIS1	amino_acid_metabolism*_	formate--tetrahydrofolate_ligase*_	None	None	0.727	0.347	0.498	0.508	0.636	0.677	0.729	0.709	0.664	0.967	0.662	1.017	0.699	1.489	1.089	0.86	1.093	0.766
YBR085W	AAC3	ATP/ADP_exchange_	ATP/ADP_antiporter_	None	None	0.894	0.546	0.684	0.81	1.033	0.777	0.996	0.796	0.772	1.263	0.661	1.051	0.788	1.445	0.918	0.64	0.99	0.727
YBR086C	IST2	biological_process_unknown_	molecular_function_unknown_	G2/M	None	0.648	0.362	0.491	0.56	0.768	0.704	0.8	0.817	0.644	1.016	0.604	0.837	0.54	1.114	1.026	0.818	1.217	0.804
YBR087W	RFC5	leading_strand_elongation*_	adenosinetriphosphatase*_	G1	None	0.688	0.476	0.744	0.918	0.89	0.754	0.769	0.766	0.561	1.044	0.699	1.039	0.833	1.25	0.818	0.541	1.023	0.673
YBR088C	POL30	nucleotide-excision_repair*_	proliferating_cell_nuclear_antigen_	G1	G1	0.267	0.261	1.271	1.942	1.398	0.732	0.405	0.279	0.172	0.406	0.921	2.045	1.366	1.345	0.733	0.349	0.445	0.279
YBR089C-A	NHP6B	transcription_regulation_from_Pol_II_promoter*_	chromatin_binding_	None	None	0.657	Null	0.637	0.803	0.543	0.527	0.635	0.812	0.571	1.166	0.624	0.981	0.771	1.308	0.535	0.881	0.833	0.891
YBR089W	None	biological_process_unknown_	molecular_function_unknown_	G1	None	0.389	0.347	1.058	1.733	1.09	0.742	0.478	Null	0.2	0.884	0.713	1.216	1.265	1.167	0.621	0.693	0.392	Null
YBR090C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.641	0.466	0.614	0.624	0.653	0.655	0.871	0.92	0.678	0.859	0.653	0.793	0.812	1.404	0.971	1.228	1.063	0.94
YBR093C	PHO5	phosphate_metabolism_	acid_phosphatase_	G2/M	None	0.547	0.389	0.582	0.573	0.645	0.5	0.874	1.736	2.235	3.216	1.833	2.054	0.945	1.244	0.628	0.719	1.082	1.388
YBR094W	None	biological_process_unknown_	molecular_function_unknown_	G2/M	None	0.606	0.507	0.43	0.515	0.495	0.5	0.691	0.964	0.692	1.225	0.589	0.891	0.663	1.104	0.607	0.848	0.91	0.839
YBR095C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.706	0.702	0.453	0.574	0.54	0.742	0.516	1.011	0.725	0.918	0.696	1	0.723	1.31	0.786	0.934	0.765	Null
YBR097W	VPS15	protein-vacuolar_targeting*_	protein_serine/threonine_kinase_	None	None	0.809	0.527	0.694	0.748	0.93	0.726	0.751	Null	0.658	Null	0.636	0.93	0.748	1.323	0.863	1.07	0.89	Null
YBR098W	MMS4	DNA_repair_	transcription_co-activator_	None	None	0.8	0.556	0.815	1.092	0.683	0.597	0.635	0.611	0.366	1.226	0.578	1.275	0.814	1.115	Null	0.749	0.493	0.677
YBR099C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.614	Null	0.596	0.618	0.533	0.47	0.62	0.696	0.476	0.656	0.544	0.903	0.769	1.41	0.731	0.844	0.787	Null
YBR104W	YMC2	transport_	molecular_function_unknown_	None	None	0.727	0.345	0.585	0.782	0.891	0.707	0.833	0.767	0.63	Null	0.562	Null	0.847	1.316	0.854	0.615	1.086	0.917
YBR105C	VID24	biological_process_unknown_	molecular_function_unknown_	None	None	1.335	Null	0.612	0.832	0.927	0.911	0.974	1.036	0.675	1.296	0.68	0.945	1.026	1.322	0.934	0.61	1.246	0.656
YBR106W	PHO88	phosphate_transport_	molecular_function_unknown_	None	None	0.722	0.436	0.771	0.72	1.054	0.697	1.026	0.816	0.787	1.122	0.784	Null	0.863	1.583	1.121	0.821	0.89	0.802
YBR108W	None	biological_process_unknown_	molecular_function_unknown_	G1	None	0.675	0.571	0.791	0.255	0.74	0.587	0.68	Null	0.593	Null	0.652	Null	0.688	1.448	0.801	0.692	0.962	0.854
YBR109C	CMD1	cytoskeleton_organization_and_biogenesis*_	calcium_binding_	None	None	0.895	0.48	0.841	0.892	0.994	0.814	0.791	0.792	0.711	0.988	0.797	1.01	0.747	1.311	1.138	0.746	1.292	0.743
YBR110W	ALG1	protein_glycosylation_	molecular_function_unknown_	None	None	0.758	0.496	0.701	0.674	0.895	0.687	0.85	0.745	0.696	1.162	0.738	1.089	0.814	1.254	0.889	0.717	1.035	0.914
YBR111C	YSA1	biological_process_unknown_	molecular_function_unknown_	None	None	0.794	0.519	0.888	0.864	0.865	0.77	0.733	0.841	0.594	0.852	0.657	0.876	0.694	1.273	1.036	0.578	1.082	0.63
YBR112C	CYC8	transcription_	molecular_function_unknown_	None	None	0.615	1.517	0.658	0.602	0.679	0.666	0.722	0.779	0.481	1.323	0.558	1.183	0.75	1.522	0.651	1.1	0.771	0.891
YBR113W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.71	0.515	0.543	0.813	0.785	0.884	0.797	1.093	0.515	0.699	0.58	1.118	0.707	1.54	0.963	1.31	1.149	1.034
YBR115C	LYS2	amino_acid_biosynthesis_	aminoadipate-semialdehyde_dehydrogenase_	None	None	0.739	0.423	0.681	0.569	0.796	0.696	0.703	0.741	0.625	0.761	0.71	1.221	0.85	1.584	1.18	0.838	1.332	0.661
YBR117C	TKL2	biological_process_unknown_	transketolase_	None	None	0.82	0.35	0.579	0.627	0.644	0.733	0.776	0.86	0.612	0.784	0.671	0.966	0.655	1.341	0.776	1.003	0.902	Null
YBR118W	TEF2	protein_synthesis_elongation_	translation_elongation_factor_	None	None	1.009	0.712	0.606	0.81	0.709	0.868	0.895	Null	0.74	1.297	0.728	1.099	0.841	1.722	1.115	0.818	1.096	1.183
YBR121C	GRS1	biological_process_unknown_	glycine--tRNA_ligase_	None	None	0.871	0.444	0.502	0.607	0.709	0.631	0.822	0.846	0.694	0.821	0.82	1.249	0.737	1.33	1.085	1.275	0.899	1.027
YBR123C	TFC1	transcription_initiation_from_Pol_III_promoter_	RNA_polymerase_III_transcription_factor_	None	None	0.663	0.509	0.399	0.498	0.725	0.67	0.912	0.934	0.723	0.768	0.769	0.783	0.668	1.192	1.146	1.102	0.972	Null
YBR125C	PTC4	biological_process_unknown_	protein_phosphatase_type_2C_	None	None	1	0.477	0.72	0.707	0.742	0.73	0.676	0.678	0.597	1.356	0.546	0.929	0.645	Null	0.844	0.621	1.096	Null
YBR126C	TPS1	stress_response*_	"alpha,alpha-trehalose-phosphate_synthase_(UDP-forming)_"	None	None	0.887	1.101	1.025	0.892	0.683	0.42	0.543	Null	0.476	Null	0.613	Null	0.718	1.317	0.846	0.737	0.833	0.76
YBR127C	VMA2	vacuolar_acidification_	hydrogen-transporting_two-sector_ATPase_	None	None	0.82	0.42	0.605	0.806	0.796	0.898	0.765	0.677	0.622	0.916	0.731	0.944	0.709	1.442	1.019	0.819	1.065	0.678
YBR130C	SHE3	"mRNA_localization,_intracellular_"	mRNA_binding_	None	None	0.66	0.45	0.572	0.601	0.599	0.733	0.822	0.752	0.633	0.963	0.532	0.871	0.609	1.213	0.957	0.721	1.308	0.767
YBR133C	HSL7	bud_growth*_	protein_kinase_inhibitor_	S/G2	None	0.683	0.324	0.484	0.523	0.743	0.819	0.659	0.606	0.531	0.771	0.631	0.986	0.759	1.464	1.059	0.793	1.059	0.665
YBR134W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.696	0.397	0.545	0.549	0.715	0.679	0.742	0.704	0.607	Null	0.528	Null	0.678	1.216	0.839	0.747	1.141	Null
YBR135W	CKS1	cell_cycle_control_	molecular_function_unknown_	None	None	0.611	0.343	0.545	0.727	0.756	1.068	0.746	0.72	0.613	0.834	0.683	0.904	0.714	1.249	1.103	0.725	1.112	0.669
YBR136W	MEC1	DNA_recombination*_	inositol/phosphatidylinositol_kinase_	None	None	0.49	0.446	0.449	0.551	0.548	0.682	0.637	0.617	0.459	1.333	0.518	0.868	0.64	1.269	Null	0.974	0.87	0.829
YBR139W	None	biological_process_unknown_	molecular_function_unknown_	G2/M	None	0.561	0.586	0.699	0.587	0.539	0.398	0.618	0.749	0.727	1.035	0.863	1.075	0.575	0.924	0.769	0.856	0.992	1.063
YBR141C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.837	0.601	0.668	0.737	0.729	0.831	0.659	0.814	0.628	0.894	0.907	0.805	0.838	1.386	0.918	0.986	0.761	0.733
YBR143C	SUP45	protein_synthesis_termination_	"translation_release_factor,_codon_specific_"	None	None	0.786	0.383	0.387	0.502	0.639	0.524	0.706	0.726	0.711	1.02	0.8	0.435	0.648	1.239	0.993	1.109	0.744	0.776
YBR149W	ARA1	biological_process_unknown_	molecular_function_unknown_	None	None	1.031	0.67	1.43	1.393	1.178	1.436	0.815	0.648	0.604	0.892	0.737	1.075	0.758	1.317	0.932	0.637	0.992	0.602
YBR150C	TBS1	biological_process_unknown_	molecular_function_unknown_	None	None	0.535	0.989	0.617	0.555	0.609	0.64	0.59	Null	0.521	0.719	0.522	0.747	0.541	0.914	0.738	0.606	1.267	1.115
YBR151W	APD1	biological_process_unknown_	molecular_function_unknown_	None	None	0.951	0.505	0.855	0.718	0.82	1.028	0.759	0.634	0.706	0.932	0.777	0.99	0.698	1.478	0.94	0.757	1.078	0.701
YBR154C	RPB5	transcription_from_Pol_II_promoter*_	DNA-directed_RNA_polymerase_III*_	None	None	0.745	0.311	0.407	0.487	0.675	0.587	0.668	Null	0.664	Null	0.593	Null	0.723	0.932	0.751	0.431	1.073	0.687
YBR155W	CNS1	biological_process_unknown_	molecular_function_unknown_	None	None	0.956	Null	0.515	0.447	0.708	1.084	0.935	0.814	1.4	0.978	0.863	0.976	0.875	1.495	0.983	1.031	1.032	Null
YBR156C	SLI15	biological_process_unknown_	molecular_function_unknown_	None	None	0.541	0.305	0.546	0.66	0.884	0.782	0.83	0.864	0.691	0.934	0.882	1.127	0.975	1.124	1.12	0.601	1.028	Null
YBR159W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.729	0.468	0.709	0.893	1.015	1.38	0.835	0.844	0.703	0.954	0.8	0.931	0.909	1.461	1.033	0.655	1.294	0.686
YBR160W	CDC28	protein_phosphorylation*_	cyclin-dependent_protein_kinase_	None	None	0.852	Null	0.767	0.693	0.654	0.567	0.81	0.614	0.579	1.162	0.627	1.127	0.891	1.088	0.837	0.74	0.651	0.757
YBR161W	None	biological_process_unknown_	molecular_function_unknown_	G1	None	0.534	0.57	0.683	0.802	0.866	0.677	0.456	Null	0.377	0.54	Null	1.055	0.787	1.132	0.94	0.726	0.52	Null
YBR162C	TOS1	biological_process_unknown_	molecular_function_unknown_	None	None	0.954	0.421	0.428	0.494	0.68	0.524	0.828	0.637	0.521	0.858	0.477	0.901	0.951	1.71	0.957	0.935	0.867	0.761
YBR162W-A	YSY6	biological_process_unknown_	molecular_function_unknown_	None	None	0.762	0.439	0.612	0.747	0.857	0.959	0.917	1.168	0.832	1.014	0.774	1.288	0.86	1.519	1.172	1.135	1.133	0.934
YBR163W	DEM1	biological_process_unknown_	molecular_function_unknown_	None	None	0.625	0.365	0.485	0.567	0.594	0.389	0.664	0.55	0.519	1.078	0.465	1.041	0.875	1.147	0.656	0.765	0.763	0.797
YBR164C	ARL1	biological_process_unknown_	molecular_function_unknown_	None	None	0.837	0.52	0.723	0.853	0.791	0.652	0.795	0.999	0.885	1.103	0.833	1.294	0.813	1.315	1.054	0.911	1.111	0.943
YBR165W	UBS1	biological_process_unknown_	molecular_function_unknown_	None	None	1.515	Null	0.518	0.577	0.777	0.544	0.617	0.834	0.683	1.131	0.436	0.918	0.768	1.125	0.766	0.76	0.955	0.712
YBR166C	TYR1	biological_process_unknown_	prephenate_dehydrogenase_(NADP+)_	None	None	1.082	0.606	0.669	0.734	0.71	0.791	0.737	0.755	0.636	0.871	0.634	1.082	0.733	1.267	0.938	0.975	1.199	0.746
YBR167C	POP7	rRNA_processing*_	ribonuclease_MRP*_	None	None	0.95	0.557	0.626	1.298	0.893	0.878	0.675	1.011	0.623	1.309	0.539	1.024	1.019	1.373	0.762	0.813	1.097	0.801
YBR169C	SSE2	protein_folding_	heat_shock_protein_	None	None	0.83	0.739	0.931	0.777	0.756	0.674	0.722	0.896	0.618	1.283	1.28	1.084	0.767	1.424	0.967	1.057	0.846	0.847
YBR170C	NPL4	mRNA-nucleus_export*_	structural_protein_	None	None	0.709	0.611	0.767	0.906	Null	0.968	0.841	0.752	0.757	0.891	1.083	1.207	0.732	1.265	1.2	1.056	0.907	Null
YBR171W	SEC66	"SRP-dependent,_co-translational_membrane_targeting,_translocation*_"	signal_recognition_particle_receptor_	None	None	0.768	0.447	0.654	0.731	0.891	0.738	0.803	0.764	0.636	0.887	0.588	0.9	0.81	1.195	0.992	0.575	1.135	0.667
YBR172C	SMY2	cytoskeleton_organization_and_biogenesis_	molecular_function_unknown_	None	None	0.719	0.25	0.432	0.407	0.637	0.807	0.715	0.679	0.571	0.869	0.565	0.772	0.597	Null	0.761	0.562	0.959	Null
YBR173C	UMP1	biological_process_unknown_	molecular_function_unknown_	None	None	0.721	0.542	0.627	0.742	0.618	0.678	0.734	0.7	0.634	0.818	0.565	0.803	0.67	1.044	0.815	0.523	1.014	0.711
YBR175W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.625	0.356	0.51	0.448	0.508	0.516	0.597	0.592	0.524	Null	0.49	Null	0.635	0.915	0.783	0.543	0.896	0.748
YBR176W	ECM31	biological_process_unknown_	3-methyl-2-oxobutanoate_hydroxymethyltransferase_	None	None	0.71	0.461	0.614	0.501	0.727	0.649	0.612	0.721	0.566	0.822	0.563	0.829	0.652	Null	0.719	0.537	1.099	Null
YBR177C	EHT1	lipid_metabolism_	molecular_function_unknown_	None	None	0.472	0.436	0.543	0.392	0.495	0.41	0.494	1.654	0.446	0.636	0.447	0.671	0.508	0.842	0.659	0.457	0.68	0.622
YBR178W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.771	0.421	0.692	0.501	0.739	0.671	0.573	0.805	0.694	0.789	Null	0.778	0.556	Null	0.761	0.57	1.028	Null
YBR181C	RPS6B	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	0.822	0.407	0.62	0.567	0.55	0.555	0.733	0.609	0.703	0.971	0.577	0.892	0.882	1.23	0.956	0.601	0.897	0.841
YBR185C	MBA1	respiration_	molecular_function_unknown_	None	None	0.967	Null	0.668	1.045	0.816	0.941	0.889	1.021	0.673	1.39	0.603	1.029	0.826	1.296	0.795	0.791	1.004	0.89
